group,team,confederation_seed_note
A,Mexico,host
A,South Africa,
A,South Korea,
A,Czechia,
B,Canada,host
B,Bosnia-Herzegovina,
B,Qatar,
B,Switzerland,
C,Brazil,
C,Morocco,
C,Haiti,cinderella_listed
C,Scotland,
D,United States,host
D,Paraguay,
D,Australia,
D,Türkiye,
E,Germany,
E,Curacao,cinderella_listed
E,Ivory Coast,
E,Ecuador,
F,Netherlands,
F,Japan,
F,Sweden,
F,Tunisia,
G,Belgium,
G,Egypt,
G,Iran,
G,New Zealand,cinderella_listed
H,Spain,
H,Cape Verde,cinderella_listed
H,Saudi Arabia,cinderella_listed
H,Uruguay,
I,France,
I,Senegal,
I,Iraq,cinderella_listed
I,Norway,
J,Argentina,
J,Algeria,
J,Austria,
J,Jordan,cinderella_listed
K,Portugal,
K,Congo DR,cinderella_listed
K,Uzbekistan,cinderella_listed
K,Colombia,
L,England,
L,Croatia,
L,Ghana,
L,Panama,cinderella_listed
